source,target,weight,abs_weight,Source_names,Target_names
RFS1 (OG0002029::H1_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,RFS1 (OG0002029::H1_transcript),ACO1 (OG0001386::H2_transcript)
RBCS (OG0002035::H1_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,RBCS (OG0002035::H1_transcript),ACO1 (OG0001386::H2_transcript)
GDCST (OG0003754::H2_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,GDCST (OG0003754::H2_transcript),ACO1 (OG0001386::H2_transcript)
WAXY (OG0003871::H1_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,WAXY (OG0003871::H1_transcript),ACO1 (OG0001386::H2_transcript)
CTIMC (OG0003945::H1_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,CTIMC (OG0003945::H1_transcript),ACO1 (OG0001386::H2_transcript)
DJ1D (OG0007013::H2_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,DJ1D (OG0007013::H2_transcript),ACO1 (OG0001386::H2_transcript)
NA,ACO1 (OG0001386::H2_transcript),1.0,1.0,NA,ACO1 (OG0001386::H2_transcript)
NA,ACO1 (OG0001386::H2_transcript),1.0,1.0,NA,ACO1 (OG0001386::H2_transcript)
BAM1 (OG0004988::H1_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,BAM1 (OG0004988::H1_transcript),ACO1 (OG0001386::H2_transcript)
SS2 (OG0008186::H2_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,SS2 (OG0008186::H2_transcript),ACO1 (OG0001386::H2_transcript)
GAPC (OG0000484::H2_protein),ACO1 (OG0001386::H2_transcript),1.0,1.0,GAPC (OG0000484::H2_protein),ACO1 (OG0001386::H2_transcript)
IPMS2 (OG0002400::H1_protein),ACO1 (OG0001386::H2_transcript),1.0,1.0,IPMS2 (OG0002400::H1_protein),ACO1 (OG0001386::H2_transcript)
PCK1 (OG0002610::H1_protein),ACO1 (OG0001386::H2_transcript),1.0,1.0,PCK1 (OG0002610::H1_protein),ACO1 (OG0001386::H2_transcript)
NA,ACO1 (OG0001386::H2_transcript),1.0,1.0,NA,ACO1 (OG0001386::H2_transcript)
PCK1 (OG0002610::H2_protein),ACO1 (OG0001386::H2_transcript),1.0,1.0,PCK1 (OG0002610::H2_protein),ACO1 (OG0001386::H2_transcript)
NA,ACO1 (OG0001386::H2_transcript),1.0,1.0,NA,ACO1 (OG0001386::H2_transcript)
NA,ACO1 (OG0001386::H2_transcript),1.0,1.0,NA,ACO1 (OG0001386::H2_transcript)
Asparagine,ACO1 (OG0001386::H2_transcript),1.0,1.0,Asparagine,ACO1 (OG0001386::H2_transcript)
Putresceine,ACO1 (OG0001386::H2_transcript),1.0,1.0,Putresceine,ACO1 (OG0001386::H2_transcript)
Succinate,ACO1 (OG0001386::H2_transcript),1.0,1.0,Succinate,ACO1 (OG0001386::H2_transcript)
BGAL1 (OG0000198::H2_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,BGAL1 (OG0000198::H2_transcript),MD1 (OG0001880::H2_transcript)
ACO1 (OG0001386::H2_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,ACO1 (OG0001386::H2_transcript),MD1 (OG0001880::H2_transcript)
TFIIB2 (OG0001924::H1_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,TFIIB2 (OG0001924::H1_transcript),MD1 (OG0001880::H2_transcript)
RFS1 (OG0002029::H1_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,RFS1 (OG0002029::H1_transcript),MD1 (OG0001880::H2_transcript)
RBCS (OG0002035::H1_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,RBCS (OG0002035::H1_transcript),MD1 (OG0001880::H2_transcript)
GDCST (OG0003754::H2_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,GDCST (OG0003754::H2_transcript),MD1 (OG0001880::H2_transcript)
WAXY (OG0003871::H1_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,WAXY (OG0003871::H1_transcript),MD1 (OG0001880::H2_transcript)
CTIMC (OG0003945::H1_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,CTIMC (OG0003945::H1_transcript),MD1 (OG0001880::H2_transcript)
GWD3 (OG0004784::H2_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,GWD3 (OG0004784::H2_transcript),MD1 (OG0001880::H2_transcript)
DJ1D (OG0007013::H2_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,DJ1D (OG0007013::H2_transcript),MD1 (OG0001880::H2_transcript)
ADHIII (OG0008025::H2_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,ADHIII (OG0008025::H2_transcript),MD1 (OG0001880::H2_transcript)
SBEII (OG0009698::H2_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,SBEII (OG0009698::H2_transcript),MD1 (OG0001880::H2_transcript)
NA,MD1 (OG0001880::H2_transcript),1.0,1.0,NA,MD1 (OG0001880::H2_transcript)
NA,MD1 (OG0001880::H2_transcript),1.0,1.0,NA,MD1 (OG0001880::H2_transcript)
PHO1 (OG0004814::H1_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,PHO1 (OG0004814::H1_transcript),MD1 (OG0001880::H2_transcript)
BAM1 (OG0004988::H1_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,BAM1 (OG0004988::H1_transcript),MD1 (OG0001880::H2_transcript)
PIF1 (OG0006099::H2_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,PIF1 (OG0006099::H2_transcript),MD1 (OG0001880::H2_transcript)
GWD3 (OG0007193::H1_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,GWD3 (OG0007193::H1_transcript),MD1 (OG0001880::H2_transcript)
SS2 (OG0008186::H2_transcript),MD1 (OG0001880::H2_transcript),1.0,1.0,SS2 (OG0008186::H2_transcript),MD1 (OG0001880::H2_transcript)
GAPC (OG0000484::H1_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,GAPC (OG0000484::H1_protein),MD1 (OG0001880::H2_transcript)
GAPC (OG0000484::H2_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,GAPC (OG0000484::H2_protein),MD1 (OG0001880::H2_transcript)
At4g37840 (OG0001227::H2_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,At4g37840 (OG0001227::H2_protein),MD1 (OG0001880::H2_transcript)
FBA1 (OG0001274::H2_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,FBA1 (OG0001274::H2_protein),MD1 (OG0001880::H2_transcript)
IPMS2 (OG0002400::H1_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,IPMS2 (OG0002400::H1_protein),MD1 (OG0001880::H2_transcript)
PCK1 (OG0002610::H1_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,PCK1 (OG0002610::H1_protein),MD1 (OG0001880::H2_transcript)
KAT1 (OG0002639::H2_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,KAT1 (OG0002639::H2_protein),MD1 (OG0001880::H2_transcript)
ASP3 (OG0002883::H2_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,ASP3 (OG0002883::H2_protein),MD1 (OG0001880::H2_transcript)
At3g47520 (OG0004070::H2_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,At3g47520 (OG0004070::H2_protein),MD1 (OG0001880::H2_transcript)
PGI1 (OG0005360::H2_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,PGI1 (OG0005360::H2_protein),MD1 (OG0001880::H2_transcript)
GAPA (OG0006112::H2_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,GAPA (OG0006112::H2_protein),MD1 (OG0001880::H2_transcript)
NA,MD1 (OG0001880::H2_transcript),1.0,1.0,NA,MD1 (OG0001880::H2_transcript)
PCK1 (OG0002610::H2_protein),MD1 (OG0001880::H2_transcript),1.0,1.0,PCK1 (OG0002610::H2_protein),MD1 (OG0001880::H2_transcript)
NA,MD1 (OG0001880::H2_transcript),1.0,1.0,NA,MD1 (OG0001880::H2_transcript)
NA,MD1 (OG0001880::H2_transcript),1.0,1.0,NA,MD1 (OG0001880::H2_transcript)
Asparagine,MD1 (OG0001880::H2_transcript),1.0,1.0,Asparagine,MD1 (OG0001880::H2_transcript)
Putresceine,MD1 (OG0001880::H2_transcript),1.0,1.0,Putresceine,MD1 (OG0001880::H2_transcript)
Succinate,MD1 (OG0001880::H2_transcript),1.0,1.0,Succinate,MD1 (OG0001880::H2_transcript)
BGAL1 (OG0000198::H2_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,BGAL1 (OG0000198::H2_transcript),TFIIB2 (OG0001924::H1_transcript)
ACO1 (OG0001386::H2_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,ACO1 (OG0001386::H2_transcript),TFIIB2 (OG0001924::H1_transcript)
MD1 (OG0001880::H2_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,MD1 (OG0001880::H2_transcript),TFIIB2 (OG0001924::H1_transcript)
RFS1 (OG0002029::H1_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,RFS1 (OG0002029::H1_transcript),TFIIB2 (OG0001924::H1_transcript)
RBCS (OG0002035::H1_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,RBCS (OG0002035::H1_transcript),TFIIB2 (OG0001924::H1_transcript)
GDCST (OG0003754::H2_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,GDCST (OG0003754::H2_transcript),TFIIB2 (OG0001924::H1_transcript)
WAXY (OG0003871::H1_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,WAXY (OG0003871::H1_transcript),TFIIB2 (OG0001924::H1_transcript)
CTIMC (OG0003945::H1_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,CTIMC (OG0003945::H1_transcript),TFIIB2 (OG0001924::H1_transcript)
DJ1D (OG0007013::H2_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,DJ1D (OG0007013::H2_transcript),TFIIB2 (OG0001924::H1_transcript)
ADHIII (OG0008025::H2_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,ADHIII (OG0008025::H2_transcript),TFIIB2 (OG0001924::H1_transcript)
SBEII (OG0009698::H2_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,SBEII (OG0009698::H2_transcript),TFIIB2 (OG0001924::H1_transcript)
NA,TFIIB2 (OG0001924::H1_transcript),1.0,1.0,NA,TFIIB2 (OG0001924::H1_transcript)
NA,TFIIB2 (OG0001924::H1_transcript),1.0,1.0,NA,TFIIB2 (OG0001924::H1_transcript)
BAM1 (OG0004988::H1_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,BAM1 (OG0004988::H1_transcript),TFIIB2 (OG0001924::H1_transcript)
PIF1 (OG0006099::H2_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,PIF1 (OG0006099::H2_transcript),TFIIB2 (OG0001924::H1_transcript)
GWD3 (OG0007193::H1_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,GWD3 (OG0007193::H1_transcript),TFIIB2 (OG0001924::H1_transcript)
SS2 (OG0008186::H2_transcript),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,SS2 (OG0008186::H2_transcript),TFIIB2 (OG0001924::H1_transcript)
GAPC (OG0000484::H1_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,GAPC (OG0000484::H1_protein),TFIIB2 (OG0001924::H1_transcript)
GAPC (OG0000484::H2_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,GAPC (OG0000484::H2_protein),TFIIB2 (OG0001924::H1_transcript)
FBA1 (OG0001274::H2_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,FBA1 (OG0001274::H2_protein),TFIIB2 (OG0001924::H1_transcript)
IPMS2 (OG0002400::H1_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,IPMS2 (OG0002400::H1_protein),TFIIB2 (OG0001924::H1_transcript)
PCK1 (OG0002610::H1_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,PCK1 (OG0002610::H1_protein),TFIIB2 (OG0001924::H1_transcript)
KAT1 (OG0002639::H2_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,KAT1 (OG0002639::H2_protein),TFIIB2 (OG0001924::H1_transcript)
ASP3 (OG0002883::H2_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,ASP3 (OG0002883::H2_protein),TFIIB2 (OG0001924::H1_transcript)
At3g47520 (OG0004070::H2_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,At3g47520 (OG0004070::H2_protein),TFIIB2 (OG0001924::H1_transcript)
PGI1 (OG0005360::H2_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,PGI1 (OG0005360::H2_protein),TFIIB2 (OG0001924::H1_transcript)
GAPA (OG0006112::H2_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,GAPA (OG0006112::H2_protein),TFIIB2 (OG0001924::H1_transcript)
NA,TFIIB2 (OG0001924::H1_transcript),1.0,1.0,NA,TFIIB2 (OG0001924::H1_transcript)
PCK1 (OG0002610::H2_protein),TFIIB2 (OG0001924::H1_transcript),1.0,1.0,PCK1 (OG0002610::H2_protein),TFIIB2 (OG0001924::H1_transcript)
NA,TFIIB2 (OG0001924::H1_transcript),1.0,1.0,NA,TFIIB2 (OG0001924::H1_transcript)
NA,TFIIB2 (OG0001924::H1_transcript),1.0,1.0,NA,TFIIB2 (OG0001924::H1_transcript)
Asparagine,TFIIB2 (OG0001924::H1_transcript),1.0,1.0,Asparagine,TFIIB2 (OG0001924::H1_transcript)
Putresceine,TFIIB2 (OG0001924::H1_transcript),1.0,1.0,Putresceine,TFIIB2 (OG0001924::H1_transcript)
Succinate,TFIIB2 (OG0001924::H1_transcript),1.0,1.0,Succinate,TFIIB2 (OG0001924::H1_transcript)
BGAL1 (OG0000198::H2_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,BGAL1 (OG0000198::H2_transcript),RFS1 (OG0002029::H1_transcript)
ACO1 (OG0001386::H2_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,ACO1 (OG0001386::H2_transcript),RFS1 (OG0002029::H1_transcript)
MD1 (OG0001880::H2_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,MD1 (OG0001880::H2_transcript),RFS1 (OG0002029::H1_transcript)
TFIIB2 (OG0001924::H1_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,TFIIB2 (OG0001924::H1_transcript),RFS1 (OG0002029::H1_transcript)
RBCS (OG0002035::H1_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,RBCS (OG0002035::H1_transcript),RFS1 (OG0002029::H1_transcript)
GDCST (OG0003754::H2_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,GDCST (OG0003754::H2_transcript),RFS1 (OG0002029::H1_transcript)
WAXY (OG0003871::H1_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,WAXY (OG0003871::H1_transcript),RFS1 (OG0002029::H1_transcript)
CTIMC (OG0003945::H1_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,CTIMC (OG0003945::H1_transcript),RFS1 (OG0002029::H1_transcript)
DJ1D (OG0007013::H2_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,DJ1D (OG0007013::H2_transcript),RFS1 (OG0002029::H1_transcript)
ADHIII (OG0008025::H2_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,ADHIII (OG0008025::H2_transcript),RFS1 (OG0002029::H1_transcript)
SBEII (OG0009698::H2_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,SBEII (OG0009698::H2_transcript),RFS1 (OG0002029::H1_transcript)
NA,RFS1 (OG0002029::H1_transcript),1.0,1.0,NA,RFS1 (OG0002029::H1_transcript)
NA,RFS1 (OG0002029::H1_transcript),1.0,1.0,NA,RFS1 (OG0002029::H1_transcript)
BAM1 (OG0004988::H1_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,BAM1 (OG0004988::H1_transcript),RFS1 (OG0002029::H1_transcript)
PIF1 (OG0006099::H2_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,PIF1 (OG0006099::H2_transcript),RFS1 (OG0002029::H1_transcript)
GWD3 (OG0007193::H1_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,GWD3 (OG0007193::H1_transcript),RFS1 (OG0002029::H1_transcript)
SS2 (OG0008186::H2_transcript),RFS1 (OG0002029::H1_transcript),1.0,1.0,SS2 (OG0008186::H2_transcript),RFS1 (OG0002029::H1_transcript)
GAPC (OG0000484::H1_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,GAPC (OG0000484::H1_protein),RFS1 (OG0002029::H1_transcript)
GAPC (OG0000484::H2_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,GAPC (OG0000484::H2_protein),RFS1 (OG0002029::H1_transcript)
FBA1 (OG0001274::H2_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,FBA1 (OG0001274::H2_protein),RFS1 (OG0002029::H1_transcript)
IPMS2 (OG0002400::H1_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,IPMS2 (OG0002400::H1_protein),RFS1 (OG0002029::H1_transcript)
PCK1 (OG0002610::H1_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,PCK1 (OG0002610::H1_protein),RFS1 (OG0002029::H1_transcript)
KAT1 (OG0002639::H2_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,KAT1 (OG0002639::H2_protein),RFS1 (OG0002029::H1_transcript)
ASP3 (OG0002883::H2_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,ASP3 (OG0002883::H2_protein),RFS1 (OG0002029::H1_transcript)
At3g47520 (OG0004070::H2_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,At3g47520 (OG0004070::H2_protein),RFS1 (OG0002029::H1_transcript)
PGI1 (OG0005360::H2_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,PGI1 (OG0005360::H2_protein),RFS1 (OG0002029::H1_transcript)
GAPA (OG0006112::H2_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,GAPA (OG0006112::H2_protein),RFS1 (OG0002029::H1_transcript)
NA,RFS1 (OG0002029::H1_transcript),1.0,1.0,NA,RFS1 (OG0002029::H1_transcript)
PCK1 (OG0002610::H2_protein),RFS1 (OG0002029::H1_transcript),1.0,1.0,PCK1 (OG0002610::H2_protein),RFS1 (OG0002029::H1_transcript)
NA,RFS1 (OG0002029::H1_transcript),1.0,1.0,NA,RFS1 (OG0002029::H1_transcript)
NA,RFS1 (OG0002029::H1_transcript),1.0,1.0,NA,RFS1 (OG0002029::H1_transcript)
Asparagine,RFS1 (OG0002029::H1_transcript),1.0,1.0,Asparagine,RFS1 (OG0002029::H1_transcript)
Putresceine,RFS1 (OG0002029::H1_transcript),1.0,1.0,Putresceine,RFS1 (OG0002029::H1_transcript)
Succinate,RFS1 (OG0002029::H1_transcript),1.0,1.0,Succinate,RFS1 (OG0002029::H1_transcript)
BGAL1 (OG0000198::H2_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,BGAL1 (OG0000198::H2_transcript),RBCS (OG0002035::H1_transcript)
ACO1 (OG0001386::H2_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,ACO1 (OG0001386::H2_transcript),RBCS (OG0002035::H1_transcript)
MD1 (OG0001880::H2_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,MD1 (OG0001880::H2_transcript),RBCS (OG0002035::H1_transcript)
TFIIB2 (OG0001924::H1_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,TFIIB2 (OG0001924::H1_transcript),RBCS (OG0002035::H1_transcript)
RFS1 (OG0002029::H1_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,RFS1 (OG0002029::H1_transcript),RBCS (OG0002035::H1_transcript)
GDCST (OG0003754::H2_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,GDCST (OG0003754::H2_transcript),RBCS (OG0002035::H1_transcript)
WAXY (OG0003871::H1_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,WAXY (OG0003871::H1_transcript),RBCS (OG0002035::H1_transcript)
CTIMC (OG0003945::H1_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,CTIMC (OG0003945::H1_transcript),RBCS (OG0002035::H1_transcript)
GWD3 (OG0004784::H2_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,GWD3 (OG0004784::H2_transcript),RBCS (OG0002035::H1_transcript)
DJ1D (OG0007013::H2_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,DJ1D (OG0007013::H2_transcript),RBCS (OG0002035::H1_transcript)
ADHIII (OG0008025::H2_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,ADHIII (OG0008025::H2_transcript),RBCS (OG0002035::H1_transcript)
NA,RBCS (OG0002035::H1_transcript),1.0,1.0,NA,RBCS (OG0002035::H1_transcript)
NA,RBCS (OG0002035::H1_transcript),1.0,1.0,NA,RBCS (OG0002035::H1_transcript)
PHO1 (OG0004814::H1_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,PHO1 (OG0004814::H1_transcript),RBCS (OG0002035::H1_transcript)
BAM1 (OG0004988::H1_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,BAM1 (OG0004988::H1_transcript),RBCS (OG0002035::H1_transcript)
PIF1 (OG0006099::H2_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,PIF1 (OG0006099::H2_transcript),RBCS (OG0002035::H1_transcript)
GWD3 (OG0007193::H1_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,GWD3 (OG0007193::H1_transcript),RBCS (OG0002035::H1_transcript)
SS2 (OG0008186::H2_transcript),RBCS (OG0002035::H1_transcript),1.0,1.0,SS2 (OG0008186::H2_transcript),RBCS (OG0002035::H1_transcript)
GAPC (OG0000484::H2_protein),RBCS (OG0002035::H1_transcript),1.0,1.0,GAPC (OG0000484::H2_protein),RBCS (OG0002035::H1_transcript)
At4g37840 (OG0001227::H2_protein),RBCS (OG0002035::H1_transcript),1.0,1.0,At4g37840 (OG0001227::H2_protein),RBCS (OG0002035::H1_transcript)
FBA1 (OG0001274::H2_protein),RBCS (OG0002035::H1_transcript),1.0,1.0,FBA1 (OG0001274::H2_protein),RBCS (OG0002035::H1_transcript)
IPMS2 (OG0002400::H1_protein),RBCS (OG0002035::H1_transcript),1.0,1.0,IPMS2 (OG0002400::H1_protein),RBCS (OG0002035::H1_transcript)
PCK1 (OG0002610::H1_protein),RBCS (OG0002035::H1_transcript),1.0,1.0,PCK1 (OG0002610::H1_protein),RBCS (OG0002035::H1_transcript)
KAT1 (OG0002639::H2_protein),RBCS (OG0002035::H1_transcript),1.0,1.0,KAT1 (OG0002639::H2_protein),RBCS (OG0002035::H1_transcript)
At3g47520 (OG0004070::H2_protein),RBCS (OG0002035::H1_transcript),1.0,1.0,At3g47520 (OG0004070::H2_protein),RBCS (OG0002035::H1_transcript)
PGI1 (OG0005360::H2_protein),RBCS (OG0002035::H1_transcript),1.0,1.0,PGI1 (OG0005360::H2_protein),RBCS (OG0002035::H1_transcript)
